backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
gnn,A0,positive_only,20260729,187265,187265,7.12,394,394,0,0.314286,0.058824,0.392157,0.47848,0.137562,0.784833,0.725156,0.30513,0.054545,0.345455,0.470552,0.15315,0.785291,0.726318
gnn,A0,positive_only,20260730,187265,187265,9.0,394,394,0,0.279038,0.019608,0.294118,0.450251,0.138503,0.874679,0.874436,0.295844,0.018182,0.454545,0.464267,0.139529,0.874094,0.873841
gnn,A1,random_mismatch,20260721,187265,187265,15.38,788,394,394,0.33338,0.058824,0.45098,0.494061,0.156691,0.342644,0.229813,0.34974,0.109091,0.418182,0.505686,0.179927,0.358965,0.24216
gnn,A1,random_mismatch,20260722,187265,187265,9.1,788,394,394,0.348739,0.098039,0.411765,0.504956,0.174212,0.368062,0.244783,0.348052,0.090909,0.418182,0.504949,0.203444,0.368796,0.245726
gnn,A1,random_mismatch,20260723,187265,187265,9.44,788,394,394,0.327498,0.078431,0.431373,0.488894,0.173186,0.387345,0.259343,0.360368,0.127273,0.418182,0.51363,0.220003,0.388182,0.260335
gnn,A1,random_mismatch,20260724,187265,187265,12.22,788,394,394,0.352848,0.117647,0.411765,0.507812,0.199696,0.371087,0.247072,0.386104,0.181818,0.4,0.532294,0.210224,0.376188,0.251218
gnn,A1,random_mismatch,20260725,187265,187265,9.28,788,394,394,0.335201,0.098039,0.372549,0.493465,0.179009,0.370962,0.246905,0.354654,0.127273,0.363636,0.508201,0.182234,0.371453,0.247652
gnn,A1,random_mismatch,20260726,187265,187265,15.94,788,394,394,0.325724,0.078431,0.45098,0.487143,0.154339,0.369313,0.252207,0.349632,0.109091,0.4,0.505483,0.171484,0.389551,0.26847
gnn,A1,random_mismatch,20260727,187265,187265,12.19,788,394,394,0.315079,0.058824,0.431373,0.480044,0.16274,0.376747,0.251416,0.34658,0.090909,0.454545,0.50395,0.190125,0.382071,0.255731
gnn,A1,random_mismatch,20260728,187265,187265,9.06,788,394,394,0.308403,0.058824,0.333333,0.473812,0.151317,0.377706,0.25196,0.334199,0.072727,0.436364,0.494351,0.173802,0.378072,0.252628
