backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,peak_memory_mb,inference_latency_ms,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
chemformer,A6,rule_pc_cng,20260729,180737,19363937,21.08,365.3,78.6921,788,394,394,0.401167,0.156863,0.54902,0.545396,0.152331,0.360413,0.239181,0.441818,0.163636,0.6,0.579141,0.208819,0.360574,0.239201
chemformer,A6,rule_pc_cng,20260730,180737,19363937,35.29,365.3,72.0123,788,394,394,0.399673,0.137255,0.529412,0.545045,0.157402,0.382173,0.255326,0.43,0.181818,0.545455,0.569131,0.201987,0.382438,0.255482
gnn,A0,positive_only,20260721,187265,187265,6.88,29.84,2.5412,394,394,0,0.448366,0.156863,0.627451,0.583607,0.214899,0.366602,0.289394,0.403333,0.127273,0.509091,0.54859,0.172518,0.358823,0.288468
gnn,A0,positive_only,20260722,187265,187265,3.48,29.84,12.7236,394,394,0,0.434174,0.176471,0.647059,0.572967,0.2125,0.390596,0.307673,0.396667,0.127273,0.563636,0.543895,0.188255,0.381981,0.305884
gnn,A0,positive_only,20260723,187265,187265,6.55,29.84,4.4995,394,394,0,0.398226,0.137255,0.568627,0.545354,0.187,0.807802,0.807508,0.433333,0.127273,0.672727,0.57345,0.223085,0.800198,0.799876
gnn,A0,positive_only,20260724,187265,187265,3.45,29.84,5.6517,394,394,0,0.377311,0.078431,0.627451,0.530279,0.179819,0.401338,0.316109,0.427273,0.163636,0.581818,0.567312,0.201944,0.393059,0.314155
gnn,A0,positive_only,20260725,187265,187265,4.97,29.84,6.622,394,394,0,0.378431,0.078431,0.54902,0.530672,0.171841,0.711499,0.661371,0.371212,0.090909,0.527273,0.524537,0.156203,0.704932,0.656989
gnn,A0,positive_only,20260726,187265,187265,4.95,29.84,3.1007,394,394,0,0.361438,0.058824,0.568627,0.517684,0.1984,0.715018,0.666322,0.36,0.054545,0.472727,0.5163,0.179526,0.706699,0.659509
gnn,A0,positive_only,20260727,187265,187265,6.22,29.84,3.8834,394,394,0,0.401307,0.117647,0.54902,0.548066,0.170185,0.807893,0.807654,0.403636,0.109091,0.618182,0.550259,0.185173,0.800312,0.800049
gnn,A0,positive_only,20260728,187265,187265,5.22,29.84,5.6687,394,394,0,0.452941,0.176471,0.764706,0.588424,0.219107,0.717315,0.669238,0.467273,0.2,0.654545,0.599061,0.259824,0.710181,0.66346
gnn,A0,positive_only,20260729,187265,187265,5.2,29.84,5.3272,394,394,0,0.44281,0.156863,0.705882,0.580525,0.223018,0.717854,0.669885,0.449394,0.181818,0.672727,0.584856,0.289406,0.711177,0.664867
gnn,A0,positive_only,20260730,187265,187265,5.73,29.84,12.6359,394,394,0,0.373366,0.078431,0.568627,0.526699,0.197614,0.807945,0.807738,0.408788,0.109091,0.563636,0.553849,0.230877,0.800385,0.800177
gnn,A1,random_mismatch,20260721,187265,187265,6.41,29.84,10.6007,788,394,394,0.43366,0.156863,0.666667,0.573273,0.218966,0.303953,0.247312,0.418788,0.145455,0.672727,0.561923,0.256333,0.297595,0.248034
gnn,A1,random_mismatch,20260722,187265,187265,6.35,29.84,4.1147,788,394,394,0.427451,0.156863,0.686275,0.568027,0.262869,0.301607,0.245934,0.448788,0.2,0.618182,0.58382,0.312737,0.295172,0.246572
gnn,A1,random_mismatch,20260723,187265,187265,5.74,29.84,3.3505,788,394,394,0.42451,0.137255,0.647059,0.566385,0.230565,0.320844,0.257875,0.446667,0.181818,0.654545,0.582808,0.289443,0.314401,0.258112
gnn,A1,random_mismatch,20260724,187265,187265,10.6,29.84,6.8488,788,394,394,0.424183,0.137255,0.705882,0.566177,0.233932,0.26009,0.226027,0.463939,0.218182,0.654545,0.595432,0.309747,0.267176,0.231629
gnn,A1,random_mismatch,20260725,187265,187265,8.21,29.84,3.1129,788,394,394,0.404248,0.098039,0.666667,0.551563,0.23256,0.306344,0.248616,0.456667,0.2,0.618182,0.590175,0.272317,0.302066,0.25005
gnn,A1,random_mismatch,20260726,187265,187265,10.45,29.84,2.5757,788,394,394,0.416667,0.117647,0.686275,0.561018,0.243788,0.308866,0.254366,0.455152,0.2,0.636364,0.589055,0.270623,0.314476,0.260827
gnn,A1,random_mismatch,20260727,187265,187265,8.15,29.84,4.967,788,394,394,0.414052,0.117647,0.666667,0.5588,0.247624,0.310736,0.251643,0.456667,0.2,0.654545,0.590315,0.291486,0.308052,0.25381
gnn,A1,random_mismatch,20260728,187265,187265,5.93,29.84,4.1886,788,394,394,0.401634,0.117647,0.647059,0.548879,0.234607,0.311059,0.251633,0.474242,0.236364,0.636364,0.603273,0.2888,0.304261,0.251906
gnn,A1,random_mismatch,20260729,187265,187265,10.33,29.86,8.3289,788,394,394,0.417974,0.117647,0.686275,0.561867,0.227691,0.316939,0.259888,0.464242,0.218182,0.636364,0.595765,0.285909,0.325561,0.268591
gnn,A1,random_mismatch,20260730,187265,187265,9.64,29.84,6.6956,788,394,394,0.423856,0.137255,0.705882,0.566188,0.26226,0.31117,0.251823,0.455152,0.2,0.672727,0.589195,0.324062,0.307412,0.253482
gnn,A2,random_corruption,20260721,187265,187265,5.19,29.84,2.3124,788,394,394,0.435621,0.156863,0.568627,0.573546,0.195181,0.627437,0.549009,0.430909,0.163636,0.563636,0.569766,0.188589,0.618115,0.542373
gnn,A2,random_corruption,20260722,187265,187265,6.37,29.84,6.6201,788,394,394,0.406396,0.117647,0.666667,0.552616,0.204406,0.633433,0.556694,0.400303,0.127273,0.581818,0.54674,0.197861,0.622741,0.548661
gnn,A2,random_corruption,20260723,187265,187265,7.12,29.84,4.3574,788,394,394,0.399533,0.117647,0.647059,0.546971,0.194877,0.727419,0.684397,0.426364,0.127273,0.618182,0.567518,0.202298,0.717724,0.675373
gnn,A2,random_corruption,20260724,187265,187265,10.06,29.84,5.9691,788,394,394,0.354762,0.039216,0.647059,0.513749,0.181075,0.721476,0.676211,0.394848,0.090909,0.636364,0.543445,0.190188,0.710735,0.666249
gnn,A2,random_corruption,20260725,187265,187265,6.05,29.84,3.7828,788,394,394,0.378431,0.078431,0.54902,0.530672,0.170649,0.660455,0.591356,0.371212,0.090909,0.527273,0.524537,0.155852,0.654058,0.587942
gnn,A2,random_corruption,20260726,187265,187265,6.97,29.84,2.8714,788,394,394,0.378431,0.078431,0.627451,0.531328,0.187323,0.728297,0.685622,0.373939,0.054545,0.545455,0.527696,0.182082,0.719283,0.677732
gnn,A2,random_corruption,20260727,187265,187265,10.04,29.84,3.7042,788,394,394,0.415219,0.156863,0.588235,0.558226,0.207913,0.740624,0.70381,0.440909,0.145455,0.690909,0.57904,0.21012,0.730558,0.694042
gnn,A2,random_corruption,20260728,187265,187265,6.8,29.84,4.8494,788,394,394,0.45719,0.176471,0.764706,0.59185,0.215315,0.670041,0.603666,0.465758,0.2,0.672727,0.59794,0.253659,0.662997,0.59867
gnn,A2,random_corruption,20260729,187265,187265,5.72,29.84,4.8042,788,394,394,0.439542,0.156863,0.666667,0.577807,0.21999,0.667824,0.60054,0.429091,0.145455,0.636364,0.569711,0.26434,0.661144,0.596185
gnn,A2,random_corruption,20260730,187265,187265,7.97,29.84,8.8389,788,394,394,0.363889,0.039216,0.666667,0.520741,0.181081,0.740593,0.703454,0.386667,0.054545,0.690909,0.538586,0.186359,0.732295,0.696113
gnn,A3,tanimoto_retrieval,20260721,187265,187265,11.72,29.84,11.0308,788,394,394,0.454248,0.156863,0.72549,0.590208,0.206719,0.572344,0.553093,0.509697,0.236364,0.763636,0.631947,0.23917,0.53742,0.517303
gnn,A3,tanimoto_retrieval,20260722,187265,187265,7.73,29.84,6.0216,788,394,394,0.461438,0.196078,0.627451,0.594459,0.221836,0.353816,0.279944,0.503939,0.236364,0.8,0.627316,0.249504,0.332503,0.267404
gnn,A3,tanimoto_retrieval,20260723,187265,187265,7.94,29.84,3.1146,788,394,394,0.460458,0.196078,0.627451,0.5936,0.224561,0.352604,0.279697,0.535152,0.290909,0.763636,0.650484,0.249191,0.330148,0.266186
gnn,A3,tanimoto_retrieval,20260724,187265,187265,5.72,29.84,4.1657,788,394,394,0.459477,0.196078,0.588235,0.592589,0.227674,0.315875,0.254399,0.464848,0.2,0.709091,0.597284,0.238729,0.307158,0.253475
gnn,A3,tanimoto_retrieval,20260725,187265,187265,10.02,29.84,3.5712,788,394,394,0.460458,0.176471,0.666667,0.594216,0.21168,0.471572,0.391462,0.533939,0.272727,0.763636,0.650128,0.266832,0.439767,0.359537
gnn,A3,tanimoto_retrieval,20260726,187265,187265,8.01,29.84,2.3881,788,394,394,0.461438,0.176471,0.627451,0.594924,0.216329,0.359382,0.282393,0.552121,0.309091,0.8,0.663689,0.251998,0.345742,0.275619
gnn,A3,tanimoto_retrieval,20260727,187265,187265,7.83,29.84,3.926,788,394,394,0.459804,0.196078,0.568627,0.592948,0.236766,0.337356,0.268395,0.505758,0.236364,0.763636,0.628769,0.239995,0.31909,0.259541
gnn,A3,tanimoto_retrieval,20260728,187265,187265,10.54,29.84,6.605,788,394,394,0.486601,0.196078,0.705882,0.61444,0.21912,0.593059,0.577464,0.53697,0.272727,0.763636,0.652509,0.275305,0.587515,0.567754
gnn,A3,tanimoto_retrieval,20260729,187265,187265,9.69,29.84,9.7147,788,394,394,0.49085,0.196078,0.784314,0.618169,0.217994,0.564417,0.539338,0.545758,0.290909,0.781818,0.658886,0.274644,0.532744,0.508454
gnn,A3,tanimoto_retrieval,20260730,187265,187265,9.84,29.84,4.8447,788,394,394,0.480065,0.196078,0.705882,0.609306,0.217355,0.564286,0.560759,0.549091,0.290909,0.763636,0.6616,0.259099,0.568557,0.551662
gnn,A4,template_perturbation,20260721,187265,187265,9.52,29.84,3.7408,788,394,394,0.418627,0.117647,0.686275,0.562737,0.22718,0.277262,0.236934,0.446364,0.181818,0.654545,0.582818,0.279357,0.284765,0.242705
gnn,A4,template_perturbation,20260722,187265,187265,5.8,29.84,13.0815,788,394,394,0.434967,0.137255,0.666667,0.574587,0.275984,0.302298,0.246304,0.460303,0.218182,0.672727,0.592728,0.282343,0.295595,0.246787
gnn,A4,template_perturbation,20260723,187265,187265,9.91,29.84,5.4216,788,394,394,0.416667,0.117647,0.686275,0.561018,0.231011,0.362949,0.301164,0.474545,0.218182,0.654545,0.604177,0.283721,0.375001,0.31148
gnn,A4,template_perturbation,20260724,187265,187265,9.56,29.84,3.3111,788,394,394,0.41732,0.117647,0.705882,0.561518,0.244992,0.317581,0.262321,0.480303,0.236364,0.636364,0.608034,0.307942,0.327363,0.270282
gnn,A4,template_perturbation,20260725,187265,187265,6.03,29.84,6.6083,788,394,394,0.405556,0.117647,0.647059,0.552317,0.232559,0.305287,0.248063,0.489091,0.254545,0.636364,0.614754,0.282612,0.298538,0.24839
gnn,A4,template_perturbation,20260726,187265,187265,9.96,30.12,3.6252,788,394,394,0.422222,0.117647,0.705882,0.565815,0.229951,0.308267,0.253644,0.467879,0.218182,0.636364,0.598953,0.274214,0.311686,0.258078
